,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
1992,벤츠  2세대  G63 AMG 크레이지컬러 에디션???,차량번호 13누5672,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182454&gubun=I,2015.06,"77,800 km",가솔린,"5,461 cc (544마력)",주황색,불가,[가격상담],준비중,유,무,유,유,유,유,무,유,유,유,미등록,,,,,,,,,
1993,벤츠  3세대  G500 -???,차량번호 264수3188,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2196946&gubun=I,2019.09,"33,000 km",가솔린,"3,982 cc (421마력)",기타색상,불가,[가격상담],준비중,유,무,유,유,유,유,유,유,유,무,미등록,,,,,,,,,
1994,벤츠  3세대  G63 AMG -???,차량번호 354주8269,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203622&gubun=I,2021.11,"15,000 km",가솔린,"3,982 cc (585마력)",검정색,"36개월 / 100,000km","21,700만원",준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
1995,벤츠  2세대  G500 -???,차량번호 235거8808,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174164&gubun=I,2020.10?(01년형),"62,000 km",가솔린,"4,960 cc (292마력)",검정색,불가,"6,900만원",준비중,유,무,유,유,유,유,무,무,무,무,미등록,,,,,,,,,
1996,벤츠  2세대  G350 d 스포츠팩???,차량번호 20다6319,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194940&gubun=I,2017.10,"86,000 km",디젤,"2,987 cc (245마력)",검정색,불가,"7,990만원",53,,,,,,,,,,,미등록,,,,,,,,,
1997,벤츠  3세대  G63 AMG -???,차량번호 236머9677,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194941&gubun=I,2020.08,"33,000 km",가솔린,"3,982 cc (585마력)",흰색,"36개월 / 100,000km","18,900만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
1998,벤츠  3세대  G400 d -???,차량번호 115노8522,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202672&gubun=I,2021.04,"19,357 km",디젤,"2,925 cc (330마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
1999,벤츠  3세대  G63 AMG -???,차량번호 277너6853,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198861&gubun=I,2021.11,"6,500 km",가솔린,"3,982 cc (585마력)",검정색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2000,벤츠  3세대  G63 AMG -???,차량번호 187루3568,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200233&gubun=I,2021.09,"11,453 km",가솔린,"3,982 cc (585마력)",녹색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2001,벤츠  3세대  G63 AMG -???,차량번호 371도5511,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201534&gubun=I,2021.01,"46,300 km",가솔린,"3,982 cc (585마력)",검정색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2002,벤츠  3세대  G63 AMG 에디션???,차량번호 107도3130,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203147&gubun=I,2021.12,"4,945 km",가솔린,"3,982 cc (585마력)",검정색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2003,벤츠  3세대  G63 AMG -???,차량번호 324거3100,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174094&gubun=I,2021.02,"12,000 km",가솔린,"3,982 cc (585마력)",녹색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2004,벤츠  3세대  G63 AMG 에디션???,차량번호 107도3198,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204493&gubun=I,2021.12,"23,227 km",가솔린,"3,982 cc (585마력)",검정색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
2005,벤츠  3세대  G500 -???,차량번호 163고7346,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204065&gubun=I,2019.08,"75,468 km",가솔린,"3,982 cc (421마력)",검정색,불가,"15,550만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
2006,벤츠  3세대  G63 AMG -???,차량번호 112수3335,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190663&gubun=I,2019.09,"24,000 km",가솔린,"3,982 cc (585마력)",흰색,불가,"17,990만원",준비중,유,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
2007,벤츠  3세대  G63 AMG 에디션???,차량번호 380부5178,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199021&gubun=I,2021.09,"22,540 km",가솔린,"3,982 cc (585마력)",녹색 (에메랄드 그린),"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2008,벤츠  3세대  G63 AMG 마그노 히어로 에디션???,차량번호 116오7262,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2186482&gubun=I,2022.10,"3,450 km",가솔린,"3,982 cc (585마력)",녹색 (그린 헬 마그노),가능,"27,500만원",준비중,유,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
2009,벤츠  3세대  G63 AMG 에디션,차량번호 222마9765,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205363&gubun=I,2021.02,"29,000 km",가솔린,"3,982 cc (585마력)",검정색,불가,6300만원,운용,유,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
2010,벤츠  3세대  G63 AMG -???,차량번호 380수7233,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2169108&gubun=I,2021.02,"8,000 km",가솔린,"3,982 cc (585마력)",검정색,"36개월 / 100,000km","19,300만원",준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2011,벤츠  3세대  G63 AMG 에디션???,차량번호 146서5110,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182882&gubun=I,2022.10?(21년형),30 km,가솔린,"3,982 cc (585마력)",흰색,"36개월 / 100,000km","26,980만원",준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2012,벤츠  2세대  G63 AMG 크레이지컬러 에디션???,차량번호 13누5672,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182454&gubun=I,2015.06,"77,800 km",가솔린,"5,461 cc (544마력)",주황색,불가,[가격상담],준비중,유,무,유,유,유,유,무,유,유,유,미등록,,,,,,,,,
2013,벤츠  3세대  G500 -???,차량번호 264수3188,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2196946&gubun=I,2019.09,"33,000 km",가솔린,"3,982 cc (421마력)",기타색상,불가,[가격상담],준비중,유,무,유,유,유,유,유,유,유,무,미등록,,,,,,,,,
2014,벤츠  3세대  G63 AMG -???,차량번호 354주8269,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203622&gubun=I,2021.11,"15,000 km",가솔린,"3,982 cc (585마력)",검정색,"36개월 / 100,000km","21,700만원",준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2015,벤츠  2세대  G500 -???,차량번호 235거8808,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174164&gubun=I,2020.10?(01년형),"62,000 km",가솔린,"4,960 cc (292마력)",검정색,불가,"6,900만원",준비중,유,무,유,유,유,유,무,무,무,무,미등록,,,,,,,,,
2016,벤츠  2세대  G350 d 스포츠팩???,차량번호 20다6319,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194940&gubun=I,2017.10,"86,000 km",디젤,"2,987 cc (245마력)",검정색,불가,"7,990만원",53,,,,,,,,,,,미등록,,,,,,,,,
2017,벤츠  3세대  G63 AMG -???,차량번호 236머9677,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194941&gubun=I,2020.08,"33,000 km",가솔린,"3,982 cc (585마력)",흰색,"36개월 / 100,000km","18,900만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
2018,벤츠  3세대  G400 d -???,차량번호 115노8522,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202672&gubun=I,2021.04,"19,357 km",디젤,"2,925 cc (330마력)",흰색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
2019,벤츠  3세대  G63 AMG -???,차량번호 277너6853,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198861&gubun=I,2021.11,"6,500 km",가솔린,"3,982 cc (585마력)",검정색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2020,벤츠  3세대  G63 AMG -???,차량번호 187루3568,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200233&gubun=I,2021.09,"11,453 km",가솔린,"3,982 cc (585마력)",녹색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2021,벤츠  3세대  G63 AMG -???,차량번호 371도5511,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201534&gubun=I,2021.01,"46,300 km",가솔린,"3,982 cc (585마력)",검정색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2022,벤츠  3세대  G63 AMG 에디션???,차량번호 107도3130,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203147&gubun=I,2021.12,"4,945 km",가솔린,"3,982 cc (585마력)",검정색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2023,벤츠  3세대  G63 AMG -???,차량번호 324거3100,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174094&gubun=I,2021.02,"12,000 km",가솔린,"3,982 cc (585마력)",녹색,"36개월 / 100,000km",[가격상담],준비중,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2024,포르쉐 911 8세대  타르가 4S 헤리티지 디자인 에디션???,차량번호 100구5555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205364&gubun=I,2021.03,"7,244 km",가솔린,"2,981 cc (458마력)",기타색상 (체리 레드 메탈릭),"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
2025,포르쉐 911 8세대  GT3 투어링 -???,차량번호 334노3351,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2183584&gubun=I,2022.05,"2,159 km",가솔린,"3,996 cc (510마력)",기타색상,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2026,포르쉐 911 7세대  R -???,차량번호 257가8888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184915&gubun=I,2019.09?(16년형),"3,349 km",가솔린,"3,996 cc (500마력)",흰색,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2027,포르쉐 911 8세대  카레라 4S -???,차량번호 206우5555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190006&gubun=I,2020.03,"12,100 km",가솔린,"2,981 cc (450마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2028,포르쉐 911 8세대  GT3 투어링 -???,차량번호 352어4767,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192427&gubun=I,2022.05,"7,564 km",가솔린,"3,996 cc (510마력)",진회색 (아게이트 그레이),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2029,포르쉐 911 7세대  GT3 RS -???,차량번호 37조5800,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199662&gubun=I,2017.05?(16년형),"29,455 km",가솔린,"3,996 cc (500마력)",흰색,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2030,포르쉐 911 6세대  카레라 4S -???,차량번호 64저6818,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2193391&gubun=I,2010.10?(11년형),"127,000 km",가솔린,"3,800 cc (385마력)",흰색,불가,"6,300만원",35,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
2031,포르쉐 911 7세대  카레라 4 GTS 카브리올레 -???,차량번호 320오7805,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184525&gubun=I,2019.03,"38,000 km",가솔린,"2,981 cc (450마력)",검정색,만료,[가격상담],준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
2032,포르쉐 911 8세대  카레라 S 카브리올레 -???,차량번호 153루9826,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2167343&gubun=I,2021.11?(22년형),"4,276 km",가솔린,"2,981 cc (458마력)",청색 (나이트블루 메탈릭),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,등록,,,,,,,,,
2033,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 287너4353,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174722&gubun=I,2020.04,"4,112 km",가솔린,"2,981 cc (450마력)",파란색 (젤라틴 블루),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,등록,,,,,,,,,
2034,포르쉐 911 7세대  카레라 GTS 카브리올레 -???,차량번호 69마4444,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2186965&gubun=I,2018.11?(19년형),"41,046 km",가솔린,"2,981 cc (450마력)",빨간색,만료,[가격상담],준비중,무,무,유,무,유,유,무,유,무,무,등록,,,,,,,,,
2035,포르쉐 911 7세대  터보 카브리올레 -???,차량번호 374저7689,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2131901&gubun=I,2015.12,"52,000 km",가솔린,"3,800 cc (520마력)",흰색,불가,"13,300만원",57,,,,,,,,,,,미등록,,,,,,,,,
2036,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 151마7570,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204732&gubun=I,2022.12,"3,278 km",가솔린,"2,981 cc (458마력)",회색 (아게이트 그레이),"48개월 / 999,999km","24,390만원",126,,,,,,,,,,,등록,,,,,,,,,
2037,포르쉐 911 7세대  카레라 S 카브리올레 -???,차량번호 18다7086,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203621&gubun=I,2013.03,"69,000 km",가솔린,"3,800 cc (400마력)",흰색,만료,"9,890만원",63,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
2038,포르쉐 911 8세대  카레라 S 카브리올레 -???,차량번호 268고3884,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190191&gubun=I,2020.07,"36,000 km",가솔린,"2,981 cc (450마력)",흰색,"48개월 / 999,999km","16,900만원",96,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2039,포르쉐 911 8세대  카레라 S -???,차량번호 158마5848,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201385&gubun=I,2020.05,"25,895 km",가솔린,"2,981 cc (450마력)",흰색,"48개월 / 999,999km",[가격상담],준비중,유,무,유,무,유,유,유,유,유,유,등록,,,,,,,,,
2040,포르쉐 911 8세대  타르가 4 GTS 50주년 포르쉐 디자인???,차량번호 237버8774,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199856&gubun=I,2023.03,18 km,가솔린,"2,981 cc (490마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2041,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 113나8787,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2169719&gubun=I,2021.07,"7,700 km",가솔린,"2,981 cc (458마력)",은색 (GT 실버),"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2042,포르쉐 911 8세대  타르가 4S 헤리티지 디자인 에디션???,차량번호 349나2001,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202959&gubun=I,2021.06,200 km,가솔린,"2,981 cc (458마력)",자주색,"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,무,유,무,유,유,유,미등록,,,,,,,,,
2043,포르쉐 911 7세대  카레라 4S 카브리올레 -???,차량번호 65버0784,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205328&gubun=I,2014.11?(15년형),"88,500 km",가솔린,"3,800 cc (400마력)",갈색,불가,[가격상담],준비중,무,무,유,무,무,유,무,유,무,유,미등록,,,,,,,,,
2044,포르쉐 911 8세대  타르가 4S 헤리티지 디자인 에디션???,차량번호 100구5555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205364&gubun=I,2021.03,"7,244 km",가솔린,"2,981 cc (458마력)",기타색상 (체리 레드 메탈릭),"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
2045,포르쉐 911 8세대  GT3 투어링 -???,차량번호 334노3351,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2183584&gubun=I,2022.05,"2,159 km",가솔린,"3,996 cc (510마력)",기타색상,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2046,포르쉐 911 7세대  R -???,차량번호 257가8888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184915&gubun=I,2019.09?(16년형),"3,349 km",가솔린,"3,996 cc (500마력)",흰색,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2047,포르쉐 911 8세대  카레라 4S -???,차량번호 206우5555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190006&gubun=I,2020.03,"12,100 km",가솔린,"2,981 cc (450마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2048,포르쉐 911 8세대  GT3 투어링 -???,차량번호 352어4767,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192427&gubun=I,2022.05,"7,564 km",가솔린,"3,996 cc (510마력)",진회색 (아게이트 그레이),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2049,포르쉐 911 7세대  GT3 RS -???,차량번호 37조5800,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199662&gubun=I,2017.05?(16년형),"29,455 km",가솔린,"3,996 cc (500마력)",흰색,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2050,포르쉐 911 6세대  카레라 4S -???,차량번호 64저6818,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2193391&gubun=I,2010.10?(11년형),"127,000 km",가솔린,"3,800 cc (385마력)",흰색,불가,"6,300만원",35,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
2051,포르쉐 911 7세대  카레라 4 GTS 카브리올레 -???,차량번호 320오7805,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184525&gubun=I,2019.03,"38,000 km",가솔린,"2,981 cc (450마력)",검정색,만료,[가격상담],준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
2052,포르쉐 911 8세대  카레라 S 카브리올레 -???,차량번호 153루9826,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2167343&gubun=I,2021.11?(22년형),"4,276 km",가솔린,"2,981 cc (458마력)",청색 (나이트블루 메탈릭),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,등록,,,,,,,,,
2053,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 287너4353,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174722&gubun=I,2020.04,"4,112 km",가솔린,"2,981 cc (450마력)",파란색 (젤라틴 블루),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,등록,,,,,,,,,
2054,포르쉐 911 7세대  카레라 GTS 카브리올레 -???,차량번호 69마4444,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2186965&gubun=I,2018.11?(19년형),"41,046 km",가솔린,"2,981 cc (450마력)",빨간색,만료,[가격상담],준비중,무,무,유,무,유,유,무,유,무,무,등록,,,,,,,,,
2055,포르쉐 911 7세대  터보 카브리올레 -???,차량번호 374저7689,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2131901&gubun=I,2015.12,"52,000 km",가솔린,"3,800 cc (520마력)",흰색,불가,"13,300만원",57,,,,,,,,,,,미등록,,,,,,,,,
2056,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 151마7570,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204732&gubun=I,2022.12,"3,278 km",가솔린,"2,981 cc (458마력)",회색 (아게이트 그레이),"48개월 / 999,999km","24,390만원",126,,,,,,,,,,,등록,,,,,,,,,
2057,포르쉐 911 7세대  카레라 S 카브리올레 -???,차량번호 18다7086,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203621&gubun=I,2013.03,"69,000 km",가솔린,"3,800 cc (400마력)",흰색,만료,"9,890만원",63,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
2058,포르쉐 911 8세대  카레라 S 카브리올레 -???,차량번호 268고3884,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190191&gubun=I,2020.07,"36,000 km",가솔린,"2,981 cc (450마력)",흰색,"48개월 / 999,999km","16,900만원",96,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2059,포르쉐 911 8세대  카레라 S -???,차량번호 158마5848,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201385&gubun=I,2020.05,"25,895 km",가솔린,"2,981 cc (450마력)",흰색,"48개월 / 999,999km",[가격상담],준비중,유,무,유,무,유,유,유,유,유,유,등록,,,,,,,,,
2060,포르쉐 911 8세대  타르가 4 GTS 50주년 포르쉐 디자인???,차량번호 237버8774,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199856&gubun=I,2023.03,18 km,가솔린,"2,981 cc (490마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2061,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 113나8787,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2169719&gubun=I,2021.07,"7,700 km",가솔린,"2,981 cc (458마력)",은색 (GT 실버),"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2062,포르쉐 911 8세대  타르가 4S 헤리티지 디자인 에디션???,차량번호 349나2001,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202959&gubun=I,2021.06,200 km,가솔린,"2,981 cc (458마력)",자주색,"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,무,유,무,유,유,유,미등록,,,,,,,,,
2063,포르쉐 911 7세대  카레라 4S 카브리올레 -???,차량번호 65버0784,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205328&gubun=I,2014.11?(15년형),"88,500 km",가솔린,"3,800 cc (400마력)",갈색,불가,[가격상담],준비중,무,무,유,무,무,유,무,유,무,유,미등록,,,,,,,,,
2064,포르쉐 911 8세대  타르가 4S 헤리티지 디자인 에디션???,차량번호 100구5555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205364&gubun=I,2021.03,"7,244 km",가솔린,"2,981 cc (458마력)",기타색상 (체리 레드 메탈릭),"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
2065,포르쉐 911 8세대  GT3 투어링 -???,차량번호 334노3351,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2183584&gubun=I,2022.05,"2,159 km",가솔린,"3,996 cc (510마력)",기타색상,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2066,포르쉐 911 7세대  R -???,차량번호 257가8888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184915&gubun=I,2019.09?(16년형),"3,349 km",가솔린,"3,996 cc (500마력)",흰색,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2067,포르쉐 911 8세대  카레라 4S -???,차량번호 206우5555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190006&gubun=I,2020.03,"12,100 km",가솔린,"2,981 cc (450마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2068,포르쉐 911 8세대  GT3 투어링 -???,차량번호 352어4767,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192427&gubun=I,2022.05,"7,564 km",가솔린,"3,996 cc (510마력)",진회색 (아게이트 그레이),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2069,포르쉐 911 7세대  GT3 RS -???,차량번호 37조5800,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199662&gubun=I,2017.05?(16년형),"29,455 km",가솔린,"3,996 cc (500마력)",흰색,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2070,포르쉐 911 6세대  카레라 4S -???,차량번호 64저6818,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2193391&gubun=I,2010.10?(11년형),"127,000 km",가솔린,"3,800 cc (385마력)",흰색,불가,"6,300만원",35,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
2071,포르쉐 911 7세대  카레라 4 GTS 카브리올레 -???,차량번호 320오7805,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184525&gubun=I,2019.03,"38,000 km",가솔린,"2,981 cc (450마력)",검정색,만료,[가격상담],준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
2072,포르쉐 911 8세대  카레라 S 카브리올레 -???,차량번호 153루9826,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2167343&gubun=I,2021.11?(22년형),"4,276 km",가솔린,"2,981 cc (458마력)",청색 (나이트블루 메탈릭),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,등록,,,,,,,,,
2073,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 287너4353,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174722&gubun=I,2020.04,"4,112 km",가솔린,"2,981 cc (450마력)",파란색 (젤라틴 블루),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,등록,,,,,,,,,
2074,포르쉐 911 7세대  카레라 GTS 카브리올레 -???,차량번호 69마4444,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2186965&gubun=I,2018.11?(19년형),"41,046 km",가솔린,"2,981 cc (450마력)",빨간색,만료,[가격상담],준비중,무,무,유,무,유,유,무,유,무,무,등록,,,,,,,,,
2075,포르쉐 911 7세대  터보 카브리올레 -???,차량번호 374저7689,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2131901&gubun=I,2015.12,"52,000 km",가솔린,"3,800 cc (520마력)",흰색,불가,"13,300만원",57,,,,,,,,,,,미등록,,,,,,,,,
2076,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 151마7570,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204732&gubun=I,2022.12,"3,278 km",가솔린,"2,981 cc (458마력)",회색 (아게이트 그레이),"48개월 / 999,999km","24,390만원",126,,,,,,,,,,,등록,,,,,,,,,
2077,포르쉐 911 7세대  카레라 S 카브리올레 -???,차량번호 18다7086,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203621&gubun=I,2013.03,"69,000 km",가솔린,"3,800 cc (400마력)",흰색,만료,"9,890만원",63,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
